feature,missing_count,missing_percentage
albumin_first,95,74.22
albumin_max,95,74.22
albumin_min,95,74.22
bilirubin_total_min,74,57.81
bilirubin_total_first,74,57.81
bilirubin_total_max,74,57.81
lactate_first,50,39.06
lactate_max,50,39.06
lactate_min,50,39.06
marital_status,10,7.81
platelets_first,4,3.12
platelets_max,4,3.12
platelets_min,4,3.12
hemoglobin_max,3,2.34
wbc_first,3,2.34
wbc_max,3,2.34
hemoglobin_min,3,2.34
wbc_min,3,2.34
hemoglobin_first,3,2.34
bicarbonate_max,1,0.78
bicarbonate_min,1,0.78
temperature_c_min,1,0.78
temperature_c_mean,1,0.78
creatinine_max,1,0.78
temperature_c_max,1,0.78
bun_first,1,0.78
map_mean,1,0.78
sbp_mean,1,0.78
map_min,1,0.78
map_max,1,0.78
sbp_max,1,0.78
sbp_min,1,0.78
creatinine_min,1,0.78
creatinine_first,1,0.78
bun_max,1,0.78
bicarbonate_first,1,0.78
bun_min,1,0.78
glucose_max,1,0.78
glucose_min,1,0.78
glucose_first,1,0.78
anchor_age,0,0.0
gender,0,0.0
spo2_min,0,0.0
spo2_mean,0,0.0
heart_rate_min,0,0.0
heart_rate_max,0,0.0
heart_rate_mean,0,0.0
respiratory_rate_min,0,0.0
respiratory_rate_max,0,0.0
respiratory_rate_mean,0,0.0
admission_type,0,0.0
admission_location,0,0.0
spo2_max,0,0.0
insurance,0,0.0
race,0,0.0
first_careunit,0,0.0
icu_admission_hour,0,0.0
weekend_admission,0,0.0
emergency_admission,0,0.0
transfer_admission,0,0.0
sodium_max,0,0.0
potassium_first,0,0.0
potassium_min,0,0.0
potassium_max,0,0.0
sodium_first,0,0.0
sodium_min,0,0.0
