model,repeat,fold,n_train,n_valid,n_positive_valid,auroc,auprc,brier,log_loss
logistic,0,0,45446,22722,2516,0.8694937178854303,0.5302951693902336,0.1440754875033885,0.44922300806187915
logistic,0,1,45446,22722,2516,0.8691764570551302,0.5506374625316323,0.14666000719735262,0.45199002431714297
logistic,0,2,45444,22724,2516,0.8666419711943324,0.546844656241017,0.14537012151357123,0.45085788935845234
logistic,1,0,45446,22722,2516,0.864526930642994,0.5364217995490134,0.14807188718641703,0.45788456396000854
logistic,1,1,45444,22724,2516,0.8763672983798385,0.5582323219050843,0.14357738663325426,0.4464672523825521
logistic,1,2,45446,22722,2516,0.8641564422222177,0.5319475848027548,0.1442090809316598,0.44775131081803127
random_forest,0,0,45446,22722,2516,0.8548973395961186,0.5084344058741591,0.15154321331786155,0.4745162452442158
random_forest,0,1,45446,22722,2516,0.8555098306206014,0.5255488619149442,0.15256830387785117,0.4762117468276413
random_forest,0,2,45444,22724,2516,0.8537353219679089,0.5134836658140775,0.15141186996999356,0.4742415360043259
random_forest,1,0,45446,22722,2516,0.8506518393142053,0.5065922928112314,0.15231046970585427,0.475892049930055
random_forest,1,1,45444,22724,2516,0.8654716308106346,0.5338099778367439,0.15126040785709277,0.47447604298693496
random_forest,1,2,45446,22722,2516,0.8475241184322936,0.5024432435962375,0.15175604596976183,0.47421834750521624
xgboost,0,0,45446,22722,2516,0.8921849878682009,0.5988397811851927,0.12134017709614318,0.3828218849337375
xgboost,0,1,45446,22722,2516,0.890887206368994,0.6056847548642886,0.12483502517298162,0.38957657481677693
xgboost,0,2,45444,22724,2516,0.8890985263592502,0.5922355161607157,0.12367951268845616,0.387222061981298
xgboost,1,0,45446,22722,2516,0.8871788503690211,0.5905597169168904,0.12550742127312867,0.39209579160423974
xgboost,1,1,45444,22724,2516,0.8973215226981208,0.6153640365968157,0.12088035549427996,0.38125801247639673
xgboost,1,2,45446,22722,2516,0.8879463229845469,0.5885614768437749,0.1230341309568475,0.38541891046821547
