feature,coefficient,odds_ratio,absolute_coefficient
numeric__icu_admission_hour,1.003225892694036,2.7270648729126266,1.003225892694036
numeric__weekend_admission,0.7351462189748239,2.085786951838863,0.7351462189748239
numeric__potassium_min,0.6644425644802903,1.9434068953063786,0.6644425644802903
numeric__bun_first,0.5272467980824984,1.6942612380795452,0.5272467980824984
categorical__marital_status_MARRIED,0.506807081585066,1.6599825355914493,0.506807081585066
numeric__missingindicator_lactate_first,-0.503614326208552,0.6043424169466822,0.503614326208552
numeric__missingindicator_lactate_max,-0.503614326208552,0.6043424169466822,0.503614326208552
numeric__missingindicator_lactate_min,-0.503614326208552,0.6043424169466822,0.503614326208552
numeric__bun_min,0.4970434489200063,1.643853940846821,0.4970434489200063
numeric__platelets_min,0.48823785235564293,1.6294423705906307,0.48823785235564293
numeric__platelets_first,0.44225212642909056,1.5562080521550645,0.44225212642909056
numeric__bun_max,0.4091932831821751,1.5056027000448824,0.4091932831821751
numeric__bicarbonate_max,-0.40605852699715794,0.6662711714327815,0.40605852699715794
numeric__lactate_max,-0.40518808528787953,0.6668513741297665,0.40518808528787953
numeric__glucose_max,-0.39355030223430926,0.6746573799497054,0.39355030223430926
numeric__sodium_min,0.39064014510097994,1.477926578589514,0.39064014510097994
numeric__spo2_mean,-0.38258816468322526,0.6820937517458604,0.38258816468322526
numeric__respiratory_rate_min,0.3806981048641451,1.4633057738242952,0.3806981048641451
numeric__platelets_max,0.3804328648985556,1.4629176981200673,0.3804328648985556
numeric__potassium_first,0.37629716497858123,1.4568800031660247,0.37629716497858123
numeric__heart_rate_min,-0.35929229051132344,0.698170252984783,0.35929229051132344
numeric__glucose_first,-0.35549354439969594,0.700827468366457,0.35549354439969594
categorical__first_careunit_Surgical Intensive Care Unit (SICU),-0.34246223508268947,0.7100199327232943,0.34246223508268947
numeric__anchor_age,0.3336273743687851,1.3960228527469813,0.3336273743687851
categorical__first_careunit_Coronary Care Unit (CCU),0.3208235154097569,1.3782623173679254,0.3208235154097569
numeric__lactate_first,-0.3178398207869642,0.7277193445913355,0.3178398207869642
categorical__race_BLACK/AFRICAN AMERICAN,0.2918693553541806,1.3389280824272618,0.2918693553541806
numeric__transfer_admission,0.28404300405018856,1.3284900599776062,0.28404300405018856
numeric__hemoglobin_min,0.28366307202523533,1.3279854199295167,0.28366307202523533
numeric__heart_rate_max,0.2832206537315261,1.32739802483271,0.2832206537315261
numeric__map_min,-0.2830884622226999,0.7534531327727069,0.2830884622226999
categorical__first_careunit_Neuro Surgical Intensive Care Unit (Neuro SICU),0.2739584882937951,1.3151602065614454,0.2739584882937951
numeric__bicarbonate_first,-0.2712459398247814,0.7624289616996357,0.2712459398247814
numeric__wbc_first,-0.26502775655676997,0.7671846552758861,0.26502775655676997
numeric__bicarbonate_min,-0.2575308583036834,0.7729577737797431,0.2575308583036834
numeric__heart_rate_mean,-0.24560915511085182,0.7822278949616953,0.24560915511085182
categorical__marital_status_SINGLE,-0.2451683726019433,0.7825727633361648,0.2451683726019433
categorical__first_careunit_Cardiac Vascular Intensive Care Unit (CVICU),-0.23913471950229884,0.787308809376843,0.23913471950229884
categorical__first_careunit_Medical/Surgical Intensive Care Unit (MICU/SICU),0.2324571805587438,1.2616964200665646,0.2324571805587438
numeric__glucose_min,-0.21174686209749474,0.8091695031141724,0.21174686209749474
numeric__missingindicator_map_max,0.20704082037683935,1.2300327811576146,0.20704082037683935
numeric__missingindicator_map_min,0.20704082037683935,1.2300327811576146,0.20704082037683935
numeric__missingindicator_map_mean,0.20704082037683935,1.2300327811576146,0.20704082037683935
numeric__missingindicator_sbp_min,0.20704082037683935,1.2300327811576146,0.20704082037683935
numeric__missingindicator_sbp_max,0.20704082037683935,1.2300327811576146,0.20704082037683935
numeric__missingindicator_sbp_mean,0.20704082037683935,1.2300327811576146,0.20704082037683935
numeric__lactate_min,-0.20620372922617658,0.8136672915882199,0.20620372922617658
numeric__respiratory_rate_mean,-0.20291012265242747,0.8163516096458515,0.20291012265242747
categorical__first_careunit_Medical Intensive Care Unit (MICU),-0.19011204237645304,0.8268664846671853,0.19011204237645304
numeric__hemoglobin_first,0.18894344027190924,1.2079726279473337,0.18894344027190924
categorical__race_WHITE,-0.17638029533268937,0.838299121466785,0.17638029533268937
categorical__race_PATIENT DECLINED TO ANSWER,0.17066708271739578,1.186095811490125,0.17066708271739578
categorical__admission_location_TRANSFER FROM HOSPITAL,0.16813718489583623,1.1830989028152858,0.16813718489583623
categorical__marital_status_DIVORCED,-0.1601069842339873,0.8520526278921875,0.1601069842339873
numeric__albumin_max,-0.15344801743750608,0.8577453508412578,0.15344801743750608
categorical__race_UNKNOWN,-0.1521671921329832,0.8588446766633294,0.1521671921329832
numeric__wbc_max,-0.14898403643645747,0.8615828687220499,0.14898403643645747
numeric__emergency_admission,0.14833111976665506,1.1598968975743384,0.14833111976665506
categorical__insurance_Medicare,0.14323516650252582,1.1540011521733524,0.14323516650252582
numeric__missingindicator_albumin_first,-0.1423045290936811,0.867357080797651,0.1423045290936811
numeric__missingindicator_albumin_max,-0.1423045290936811,0.867357080797651,0.1423045290936811
numeric__missingindicator_albumin_min,-0.1423045290936811,0.867357080797651,0.1423045290936811
numeric__sbp_max,0.141232982518127,1.1516929410512486,0.141232982518127
numeric__sodium_first,-0.13304194635919755,0.875428370305731,0.13304194635919755
numeric__temperature_c_max,-0.1234998714939805,0.8838217548204867,0.1234998714939805
numeric__albumin_first,-0.12246729740139205,0.8847348375986629,0.12246729740139205
numeric__albumin_min,-0.12246729740139205,0.8847348375986629,0.12246729740139205
numeric__map_mean,-0.12216009288143363,0.8850066738922691,0.12216009288143363
numeric__potassium_max,-0.12101834997012333,0.8860177010453612,0.12101834997012333
numeric__spo2_min,-0.11425887828611805,0.8920269995680915,0.11425887828611805
categorical__marital_status_WIDOWED,-0.10140835879297215,0.903563979241906,0.10140835879297215
numeric__bilirubin_total_max,-0.1009893781704456,0.9039426343594605,0.1009893781704456
numeric__missingindicator_creatinine_min,0.100430881873561,1.105647218798738,0.100430881873561
numeric__missingindicator_bun_min,0.100430881873561,1.105647218798738,0.100430881873561
numeric__missingindicator_glucose_max,0.100430881873561,1.105647218798738,0.100430881873561
numeric__missingindicator_bun_max,0.100430881873561,1.105647218798738,0.100430881873561
numeric__missingindicator_bicarbonate_max,0.100430881873561,1.105647218798738,0.100430881873561
numeric__missingindicator_creatinine_max,0.100430881873561,1.105647218798738,0.100430881873561
numeric__missingindicator_bun_first,0.100430881873561,1.105647218798738,0.100430881873561
numeric__missingindicator_creatinine_first,0.100430881873561,1.105647218798738,0.100430881873561
numeric__missingindicator_glucose_first,0.100430881873561,1.105647218798738,0.100430881873561
numeric__missingindicator_glucose_min,0.100430881873561,1.105647218798738,0.100430881873561
numeric__missingindicator_bicarbonate_first,0.100430881873561,1.105647218798738,0.100430881873561
numeric__missingindicator_bicarbonate_min,0.100430881873561,1.105647218798738,0.100430881873561
numeric__bilirubin_total_min,-0.0985432584491843,0.9061564928418175,0.0985432584491843
categorical__race_HISPANIC/LATINO - CUBAN,-0.09348051330508457,0.9107557648730117,0.09348051330508457
categorical__insurance_Other,-0.08752261341264729,0.9161981530497177,0.08752261341264729
categorical__admission_type_SURGICAL SAME DAY ADMISSION,-0.08716581069043387,0.9165251133715105,0.08716581069043387
numeric__missingindicator_bilirubin_total_first,-0.08614170349137242,0.9174642141260796,0.08614170349137242
numeric__missingindicator_bilirubin_total_min,-0.08614170349137242,0.9174642141260796,0.08614170349137242
numeric__missingindicator_bilirubin_total_max,-0.08614170349137242,0.9174642141260796,0.08614170349137242
numeric__temperature_c_mean,-0.08153083181979308,0.9217042915951752,0.08153083181979308
categorical__admission_location_EMERGENCY ROOM,-0.07520996755822662,0.9275487107430604,0.07520996755822662
numeric__wbc_min,-0.07380427400401993,0.92885347682275,0.07380427400401993
numeric__map_max,0.07287116805243277,1.0755919573815025,0.07287116805243277
numeric__missingindicator_platelets_first,-0.07211343819688212,0.9304253440511556,0.07211343819688212
numeric__missingindicator_platelets_min,-0.07211343819688212,0.9304253440511556,0.07211343819688212
numeric__missingindicator_platelets_max,-0.07211343819688212,0.9304253440511556,0.07211343819688212
numeric__bilirubin_total_first,-0.06809722412272398,0.9341696453376938,0.06809722412272398
categorical__admission_location_PHYSICIAN REFERRAL,-0.0636979967557229,0.9382883228638654,0.0636979967557229
numeric__respiratory_rate_max,-0.06308311528407752,0.9388654363786764,0.06308311528407752
categorical__admission_type_URGENT,0.06263158901780803,1.064634543914792,0.06263158901780803
numeric__sbp_min,-0.05884303376796402,0.942854753900569,0.05884303376796402
categorical__insurance_Medicaid,-0.05558918713371532,0.9459276553319244,0.05558918713371532
numeric__missingindicator_hemoglobin_min,0.05534531966120525,1.056905521923801,0.05534531966120525
numeric__missingindicator_hemoglobin_first,0.05534531966120525,1.056905521923801,0.05534531966120525
numeric__missingindicator_wbc_max,0.05534531966120525,1.056905521923801,0.05534531966120525
numeric__missingindicator_wbc_min,0.05534531966120525,1.056905521923801,0.05534531966120525
numeric__missingindicator_hemoglobin_max,0.05534531966120525,1.056905521923801,0.05534531966120525
numeric__missingindicator_wbc_first,0.05534531966120525,1.056905521923801,0.05534531966120525
categorical__admission_type_EW EMER.,0.05054679776218298,1.051846086246231,0.05054679776218298
categorical__first_careunit_Trauma SICU (TSICU),-0.050293055638348245,0.9509507021970673,0.050293055638348245
numeric__missingindicator_temperature_c_mean,-0.04825957375083744,0.9528864106729428,0.04825957375083744
numeric__missingindicator_temperature_c_min,-0.04825957375083744,0.9528864106729428,0.04825957375083744
numeric__missingindicator_temperature_c_max,-0.04825957375083744,0.9528864106729428,0.04825957375083744
categorical__admission_type_OBSERVATION ADMIT,-0.04742252306896347,0.9536843588076697,0.04742252306896347
numeric__hemoglobin_max,-0.04659978831747409,0.9544693109310303,0.04659978831747409
categorical__admission_location_INFORMATION NOT AVAILABLE,0.046224610126151845,1.0473096208867498,0.046224610126151845
categorical__admission_location_TRANSFER FROM SKILLED NURSING FACILITY,-0.04375983150531057,0.9571838152656952,0.04375983150531057
numeric__temperature_c_min,0.03853442461308473,1.039286504777997,0.03853442461308473
numeric__creatinine_max,-0.030572462841194283,0.9698901485249602,0.030572462841194283
numeric__sodium_max,-0.02356781912118263,0.9767077329625402,0.02356781912118263
categorical__admission_type_DIRECT EMER.,0.023566778488127202,1.0238466693964827,0.023566778488127202
categorical__admission_location_PROCEDURE SITE,-0.02144471947663186,0.9787835836423929,0.02144471947663186
categorical__race_OTHER,-0.01918593607087796,0.9809969425670885,0.01918593607087796
numeric__creatinine_first,0.017347000271269255,1.0174983332719127,0.017347000271269255
numeric__creatinine_min,0.007900884281185006,1.0079321786307827,0.007900884281185006
categorical__race_HISPANIC/LATINO - SALVADORAN,-0.007181712248698718,0.9928440146222104,0.007181712248698718
categorical__admission_location_CLINIC REFERRAL,-0.006495057053654879,0.9935259902369726,0.006495057053654879
categorical__gender_M,0.005824021939657708,1.00584101452782,0.005824021939657708
categorical__gender_F,-0.005700655983494335,0.9943155619236226,0.005700655983494335
categorical__first_careunit_Neuro Intermediate,-0.00511376570634285,0.9948992873339649,0.00511376570634285
categorical__race_BLACK/CAPE VERDEAN,-0.005085298478768709,0.9949276097615194,0.005085298478768709
categorical__race_PORTUGUESE,-0.0045605560545135424,0.9954498274903397,0.0045605560545135424
categorical__race_UNABLE TO OBTAIN,-0.004330808205368299,0.9956785562210985,0.004330808205368299
categorical__admission_location_PACU,-0.0036308567162780052,0.996375726873535,0.0036308567162780052
numeric__sbp_mean,0.00347721542837396,1.0034832679552217,0.00347721542837396
categorical__admission_type_ELECTIVE,-0.0020334655525575565,0.9979686005378406,0.0020334655525575565
categorical__race_HISPANIC/LATINO - PUERTO RICAN,-0.00026846485786803426,0.9997315711755973,0.00026846485786803426
categorical__race_WHITE - OTHER EUROPEAN,0.00022770457143925812,1.000227730498093,0.00022770457143925812
