feature,training_median
anchor_age,64.0
icu_admission_hour,14.0
weekend_admission,0.0
emergency_admission,1.0
transfer_admission,0.0
heart_rate_min,76.0
heart_rate_max,109.0
heart_rate_mean,91.79166666666669
respiratory_rate_min,13.0
respiratory_rate_max,28.0
respiratory_rate_mean,19.029411764705884
spo2_min,90.0
spo2_mean,96.78125
sbp_min,89.0
sbp_max,145.0
sbp_mean,113.53999999999999
map_min,59.5
map_max,101.0
map_mean,75.81481481481481
temperature_c_min,36.55555555555556
temperature_c_max,37.22222222222222
temperature_c_mean,36.88425925925925
creatinine_first,0.8500000000000001
creatinine_min,0.8
creatinine_max,0.9
bun_first,16.0
bun_min,14.0
bun_max,17.0
sodium_first,139.0
sodium_min,137.0
sodium_max,139.0
potassium_first,4.0
potassium_min,3.8
potassium_max,4.2
glucose_first,130.0
glucose_min,115.5
glucose_max,148.5
wbc_first,9.7
wbc_min,9.4
wbc_max,11.3
platelets_first,189.5
platelets_min,172.0
platelets_max,195.0
lactate_first,1.7
lactate_min,1.5
lactate_max,2.25
bilirubin_total_first,0.6
bilirubin_total_min,0.6
bilirubin_total_max,0.6
albumin_first,2.9
albumin_min,2.9
albumin_max,2.9
bicarbonate_first,23.0
bicarbonate_min,22.5
bicarbonate_max,24.0
hemoglobin_first,10.6
hemoglobin_min,10.2
hemoglobin_max,11.0
