feature,missing_count,missing_percentage,data_type,unique_non_missing_values
albumin_first,95,74.22,float64,16
albumin_max,95,74.22,float64,16
albumin_min,95,74.22,float64,16
bilirubin_total_first,74,57.81,float64,24
bilirubin_total_max,74,57.81,float64,24
bilirubin_total_min,74,57.81,float64,23
lactate_first,50,39.06,float64,34
lactate_max,50,39.06,float64,39
lactate_min,50,39.06,float64,25
marital_status,10,7.81,str,4
platelets_first,4,3.12,float64,103
platelets_max,4,3.12,float64,94
platelets_min,4,3.12,float64,100
hemoglobin_first,3,2.34,float64,63
hemoglobin_max,3,2.34,float64,60
hemoglobin_min,3,2.34,float64,67
wbc_first,3,2.34,float64,92
wbc_max,3,2.34,float64,94
wbc_min,3,2.34,float64,91
bicarbonate_first,1,0.78,float64,26
bicarbonate_max,1,0.78,float64,23
bicarbonate_min,1,0.78,float64,25
bun_first,1,0.78,float64,49
bun_max,1,0.78,float64,51
bun_min,1,0.78,float64,46
creatinine_first,1,0.78,float64,33
creatinine_max,1,0.78,float64,35
creatinine_min,1,0.78,float64,34
glucose_first,1,0.78,float64,87
glucose_max,1,0.78,float64,96
glucose_min,1,0.78,float64,81
map_max,1,0.78,float64,53
map_mean,1,0.78,float64,125
map_min,1,0.78,float64,45
sbp_max,1,0.78,float64,62
sbp_mean,1,0.78,float64,127
sbp_min,1,0.78,float64,58
temperature_c_max,1,0.78,float64,48
temperature_c_mean,1,0.78,float64,114
temperature_c_min,1,0.78,float64,40
admission_location,0,0.0,str,8
admission_type,0,0.0,str,6
anchor_age,0,0.0,int64,50
emergency_admission,0,0.0,int64,2
first_careunit,0,0.0,str,9
gender,0,0.0,str,2
heart_rate_max,0,0.0,float64,62
heart_rate_mean,0,0.0,float64,128
heart_rate_min,0,0.0,float64,55
icu_admission_hour,0,0.0,int64,23
insurance,0,0.0,str,3
potassium_first,0,0.0,float64,33
potassium_max,0,0.0,float64,31
potassium_min,0,0.0,float64,27
race,0,0.0,str,14
respiratory_rate_max,0,0.0,float64,27
respiratory_rate_mean,0,0.0,float64,124
respiratory_rate_min,0,0.0,float64,17
sodium_first,0,0.0,float64,26
sodium_max,0,0.0,float64,25
sodium_min,0,0.0,float64,24
spo2_max,0,0.0,float64,1
spo2_mean,0,0.0,float64,125
spo2_min,0,0.0,float64,15
transfer_admission,0,0.0,int64,2
weekend_admission,0,0.0,int64,2
