feature,importance
numeric__creatinine_min,0.05986449874620539
numeric__creatinine_first,0.05152568754257402
numeric__creatinine_max,0.042131614365249495
numeric__icu_admission_hour,0.04106908600755771
numeric__bicarbonate_first,0.04087506198028769
numeric__bun_first,0.03097546895471331
numeric__anchor_age,0.030774324783085255
numeric__potassium_first,0.030191677153855182
numeric__bun_min,0.029232823073711996
numeric__bun_max,0.029121294669426114
numeric__platelets_first,0.025528226927579358
numeric__bicarbonate_max,0.02500069273631387
numeric__potassium_min,0.02453755231879711
numeric__map_max,0.022630651267832647
numeric__platelets_max,0.022356812829636766
numeric__lactate_first,0.021155501048795076
numeric__temperature_c_mean,0.021148444686006122
numeric__potassium_max,0.02088862166752214
numeric__lactate_max,0.020728886173187872
categorical__gender_M,0.0184725766370853
categorical__gender_F,0.01841404894951036
numeric__wbc_min,0.016115833549964976
numeric__sodium_first,0.01522624987919421
numeric__wbc_first,0.015176759148366763
numeric__sbp_max,0.015160012028406266
numeric__temperature_c_min,0.014925906990345902
numeric__wbc_max,0.014735285001171232
numeric__missingindicator_lactate_min,0.013184193168719476
numeric__bicarbonate_min,0.011952941162371424
numeric__temperature_c_max,0.01189828114236478
numeric__lactate_min,0.011580973891313929
numeric__glucose_first,0.010878491011043942
numeric__missingindicator_lactate_first,0.010689836098666644
numeric__sodium_max,0.010273147663084617
numeric__missingindicator_lactate_max,0.009705586164706102
numeric__hemoglobin_max,0.009680166486550167
numeric__heart_rate_mean,0.009537284383234085
numeric__platelets_min,0.008606307030097411
numeric__respiratory_rate_max,0.0085085123329288
categorical__marital_status_MARRIED,0.008424005398400467
numeric__sbp_min,0.008307105594709324
numeric__glucose_max,0.008040573804382412
numeric__hemoglobin_first,0.00775572539834505
numeric__respiratory_rate_min,0.007715990487306954
numeric__glucose_min,0.00757831558515868
numeric__sodium_min,0.007439559585173024
numeric__missingindicator_bilirubin_total_max,0.0070749916688372435
numeric__map_min,0.0066792708978478
numeric__spo2_mean,0.0066658205438698956
numeric__hemoglobin_min,0.006353319364949295
numeric__sbp_mean,0.00612509179581985
numeric__respiratory_rate_mean,0.005984043176475405
numeric__emergency_admission,0.005715003969990577
numeric__map_mean,0.0056619860503235924
numeric__heart_rate_max,0.00515768854166391
categorical__insurance_Other,0.0041017214275344115
numeric__heart_rate_min,0.003838532128159159
numeric__spo2_min,0.0035354887800805625
categorical__first_careunit_Cardiac Vascular Intensive Care Unit (CVICU),0.003098770464817077
categorical__insurance_Medicare,0.002792918391578818
numeric__bilirubin_total_first,0.002704628818889943
numeric__missingindicator_bilirubin_total_min,0.002500340655422343
numeric__bilirubin_total_max,0.0024684381562620665
categorical__admission_location_EMERGENCY ROOM,0.002388767038792668
numeric__missingindicator_bilirubin_total_first,0.002275464733042602
numeric__missingindicator_albumin_max,0.0020769908103102025
numeric__weekend_admission,0.001983697264915089
categorical__admission_type_EW EMER.,0.0013288374267992433
numeric__albumin_first,0.0012695396815915778
numeric__missingindicator_albumin_first,0.0011263917765070982
categorical__race_WHITE,0.001098752608216571
categorical__first_careunit_Surgical Intensive Care Unit (SICU),0.000997933136060502
categorical__race_UNKNOWN,0.0007933779235141122
categorical__marital_status_SINGLE,0.000776180320307439
numeric__albumin_min,0.000753714064301136
categorical__admission_location_TRANSFER FROM HOSPITAL,0.0004938736872891667
numeric__bilirubin_total_min,0.000429719320971065
categorical__admission_type_SURGICAL SAME DAY ADMISSION,0.00039589290217486927
categorical__admission_location_PHYSICIAN REFERRAL,0.00038509851505999027
numeric__missingindicator_albumin_min,0.00036734405988979844
categorical__admission_type_URGENT,0.0002886253365306655
categorical__insurance_Medicaid,0.00020840557220719064
categorical__first_careunit_Medical Intensive Care Unit (MICU),0.00020067877661401613
numeric__transfer_admission,0.000182064707443706
numeric__missingindicator_glucose_max,0.0
numeric__missingindicator_glucose_min,0.0
numeric__missingindicator_glucose_first,0.0
numeric__missingindicator_temperature_c_min,0.0
numeric__missingindicator_map_mean,0.0
numeric__missingindicator_map_max,0.0
numeric__missingindicator_map_min,0.0
numeric__missingindicator_sbp_mean,0.0
numeric__missingindicator_sbp_max,0.0
numeric__missingindicator_sbp_min,0.0
numeric__albumin_max,0.0
numeric__missingindicator_bun_max,0.0
numeric__missingindicator_bun_min,0.0
numeric__missingindicator_bun_first,0.0
numeric__missingindicator_creatinine_max,0.0
numeric__missingindicator_creatinine_min,0.0
numeric__missingindicator_creatinine_first,0.0
numeric__missingindicator_temperature_c_mean,0.0
numeric__missingindicator_temperature_c_max,0.0
numeric__missingindicator_wbc_min,0.0
numeric__missingindicator_bicarbonate_first,0.0
numeric__missingindicator_wbc_max,0.0
numeric__missingindicator_wbc_first,0.0
numeric__missingindicator_platelets_max,0.0
categorical__admission_location_INFORMATION NOT AVAILABLE,0.0
categorical__admission_location_CLINIC REFERRAL,0.0
categorical__admission_type_ELECTIVE,0.0
categorical__admission_type_OBSERVATION ADMIT,0.0
numeric__missingindicator_hemoglobin_min,0.0
numeric__missingindicator_hemoglobin_first,0.0
numeric__missingindicator_hemoglobin_max,0.0
