feature,mean_absolute_shap,importance_rank
numeric__creatinine_min,0.028429104674745184,1
numeric__creatinine_first,0.027913941393995344,2
numeric__creatinine_max,0.02101661330727085,3
numeric__icu_admission_hour,0.020850133468592713,4
numeric__bicarbonate_first,0.01929068463407606,5
numeric__anchor_age,0.013831015551069354,6
numeric__bun_first,0.013234410663399813,7
numeric__bun_max,0.011708430812602559,8
numeric__potassium_first,0.011603348240020269,9
numeric__lactate_first,0.011600329346410332,10
numeric__potassium_min,0.01062147322786518,11
numeric__bicarbonate_max,0.009995678162295957,12
numeric__bun_min,0.009881686583946248,13
categorical__gender_F,0.00965767910416273,14
categorical__gender_M,0.0095279108147753,15
numeric__map_max,0.00941257391273006,16
numeric__lactate_max,0.009347087235698062,17
numeric__sodium_first,0.009233652038906871,18
numeric__platelets_first,0.009046390454842054,19
numeric__platelets_max,0.00881659697288105,20
numeric__missingindicator_lactate_min,0.008505227021877297,21
numeric__potassium_max,0.008009424550460578,22
numeric__sbp_max,0.007784703775443508,23
numeric__temperature_c_mean,0.007558393546735259,24
numeric__wbc_max,0.006770737170625175,25
numeric__missingindicator_lactate_first,0.006758589461250126,26
numeric__temperature_c_max,0.006236251843744778,27
numeric__wbc_min,0.00618736225704976,28
numeric__missingindicator_lactate_max,0.005960308476092997,29
categorical__marital_status_MARRIED,0.005810380483078267,30
numeric__temperature_c_min,0.0054280149738537556,31
numeric__sodium_max,0.004963104928538568,32
numeric__glucose_first,0.004695506646986572,33
numeric__wbc_first,0.0044143671169772246,34
numeric__lactate_min,0.004396466266761552,35
numeric__bicarbonate_min,0.004195532142371942,36
numeric__missingindicator_bilirubin_total_max,0.004029835053674559,37
numeric__emergency_admission,0.0037023183660603895,38
categorical__insurance_Other,0.002924324875455353,39
numeric__sbp_min,0.0026683449786926035,40
numeric__heart_rate_mean,0.0026126636114981623,41
numeric__hemoglobin_max,0.0023987699044241777,42
numeric__sodium_min,0.002104028593737897,43
numeric__respiratory_rate_min,0.0020312535703842227,44
categorical__first_careunit_Cardiac Vascular Intensive Care Unit (CVICU),0.0020183981053638104,45
