feature,mean_absolute_shap,importance_rank,random_forest_builtin_importance,rf_builtin_rank,rank_difference
numeric__creatinine_min,0.028429104674745184,1,0.05986449874620539,1,0
numeric__creatinine_first,0.027913941393995344,2,0.05152568754257402,2,0
numeric__creatinine_max,0.02101661330727085,3,0.042131614365249495,3,0
numeric__icu_admission_hour,0.020850133468592713,4,0.04106908600755771,4,0
numeric__bicarbonate_first,0.01929068463407606,5,0.04087506198028769,5,0
numeric__anchor_age,0.013831015551069354,6,0.030774324783085255,7,-1
numeric__bun_first,0.013234410663399813,7,0.03097546895471331,6,1
numeric__bun_max,0.011708430812602559,8,0.029121294669426114,10,-2
numeric__potassium_first,0.011603348240020269,9,0.030191677153855182,8,1
numeric__lactate_first,0.011600329346410332,10,0.021155501048795076,16,-6
numeric__potassium_min,0.01062147322786518,11,0.02453755231879711,13,-2
numeric__bicarbonate_max,0.009995678162295957,12,0.02500069273631387,12,0
numeric__bun_min,0.009881686583946248,13,0.029232823073711996,9,4
categorical__gender_F,0.00965767910416273,14,0.01841404894951036,21,-7
categorical__gender_M,0.0095279108147753,15,0.0184725766370853,20,-5
numeric__map_max,0.00941257391273006,16,0.022630651267832647,14,2
numeric__lactate_max,0.009347087235698062,17,0.020728886173187872,19,-2
numeric__sodium_first,0.009233652038906871,18,0.01522624987919421,23,-5
numeric__platelets_first,0.009046390454842054,19,0.025528226927579358,11,8
numeric__platelets_max,0.00881659697288105,20,0.022356812829636766,15,5
numeric__missingindicator_lactate_min,0.008505227021877297,21,0.013184193168719476,28,-7
numeric__potassium_max,0.008009424550460578,22,0.02088862166752214,18,4
numeric__sbp_max,0.007784703775443508,23,0.015160012028406266,25,-2
numeric__temperature_c_mean,0.007558393546735259,24,0.021148444686006122,17,7
numeric__wbc_max,0.006770737170625175,25,0.014735285001171232,27,-2
numeric__missingindicator_lactate_first,0.006758589461250126,26,0.010689836098666644,33,-7
numeric__temperature_c_max,0.006236251843744778,27,0.01189828114236478,30,-3
numeric__wbc_min,0.00618736225704976,28,0.016115833549964976,22,6
numeric__missingindicator_lactate_max,0.005960308476092997,29,0.009705586164706102,35,-6
categorical__marital_status_MARRIED,0.005810380483078267,30,0.008424005398400467,40,-10
numeric__temperature_c_min,0.0054280149738537556,31,0.014925906990345902,26,5
numeric__sodium_max,0.004963104928538568,32,0.010273147663084617,34,-2
numeric__glucose_first,0.004695506646986572,33,0.010878491011043942,32,1
numeric__wbc_first,0.0044143671169772246,34,0.015176759148366763,24,10
numeric__lactate_min,0.004396466266761552,35,0.011580973891313929,31,4
numeric__bicarbonate_min,0.004195532142371942,36,0.011952941162371424,29,7
numeric__missingindicator_bilirubin_total_max,0.004029835053674559,37,0.0070749916688372435,47,-10
numeric__emergency_admission,0.0037023183660603895,38,0.005715003969990577,53,-15
