mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__subsample,param_classifier__n_estimators,param_classifier__min_child_weight,param_classifier__max_depth,param_classifier__learning_rate,param_classifier__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5368854522705078,0.04702650147836267,0.01745443344116211,0.004922470032350473,0.7,300,1,3,0.08,0.8,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 1, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.08, 'classifier__colsample_bytree': 0.8}",0.5888888888888889,0.5625,0.3088235294117647,0.6428571428571428,0.7,0.5606139122315593,0.1344573233109345,1
0.9063437938690185,0.021985751636961162,0.019446516036987306,0.0020394575357408702,0.7,800,1,3,0.05,1.0,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 800, 'classifier__min_child_weight': 1, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.05, 'classifier__colsample_bytree': 1.0}",0.5888888888888889,0.5666666666666667,0.5588235294117647,0.30952380952380953,0.7,0.544780578898226,0.12810976897241147,2
0.8852487564086914,0.06596408959242561,0.00976252555847168,0.0014263602104576916,0.7,800,3,4,0.02,0.7,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 800, 'classifier__min_child_weight': 3, 'classifier__max_depth': 4, 'classifier__learning_rate': 0.02, 'classifier__colsample_bytree': 0.7}",0.5888888888888889,0.5625,0.5588235294117647,0.30952380952380953,0.6666666666666666,0.537280578898226,0.12031412326200402,3
0.9601890563964843,0.0448548862430556,0.014338541030883788,0.0042844020952353245,0.8,800,8,2,0.08,0.7,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 800, 'classifier__min_child_weight': 8, 'classifier__max_depth': 2, 'classifier__learning_rate': 0.08, 'classifier__colsample_bytree': 0.7}",0.40277777777777773,0.5714285714285714,0.5588235294117647,0.25,0.8333333333333333,0.5232726423902895,0.19437975234812396,4
0.8786363124847412,0.03637331203073951,0.028830575942993163,0.02029976635864638,0.7,800,1,3,0.05,0.7,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 800, 'classifier__min_child_weight': 1, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.05, 'classifier__colsample_bytree': 0.7}",0.5333333333333333,0.5625,0.5588235294117647,0.29166666666666663,0.6428571428571428,0.5178361344537815,0.11890994180924057,5
0.6959227085113525,0.011900769352452979,0.02160792350769043,0.007914092897957878,0.8,500,3,5,0.02,0.7,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 500, 'classifier__min_child_weight': 3, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.02, 'classifier__colsample_bytree': 0.7}",0.5333333333333333,0.5666666666666667,0.3088235294117647,0.3611111111111111,0.7,0.4939869281045752,0.14227672806950709,6
0.39890298843383787,0.020498496699142995,0.02179584503173828,0.006916187906153691,0.7,300,5,3,0.08,1.0,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 5, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.08, 'classifier__colsample_bytree': 1.0}",0.6388888888888888,0.5555555555555556,0.1588235294117647,0.26785714285714285,0.75,0.4742250233426704,0.22443105235548,7
0.47760519981384275,0.013037383654635654,0.014635038375854493,0.0011691080706080898,0.8,300,3,5,0.08,0.8,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 3, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.08, 'classifier__colsample_bytree': 0.8}",0.5555555555555556,0.5625,0.3088235294117647,0.29166666666666663,0.6428571428571428,0.47228057889822594,0.14388205042440652,8
1.3874518394470214,0.09492042434379382,0.03490324020385742,0.014057544746319726,0.7,800,3,4,0.08,0.8,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 800, 'classifier__min_child_weight': 3, 'classifier__max_depth': 4, 'classifier__learning_rate': 0.08, 'classifier__colsample_bytree': 0.8}",0.5555555555555556,0.5625,0.22916666666666666,0.26666666666666666,0.6428571428571428,0.45134920634920633,0.16932895398780498,9
0.42610692977905273,0.04974145988050197,0.014594411849975586,0.0037524966170455606,0.8,300,5,2,0.05,1.0,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 5, 'classifier__max_depth': 2, 'classifier__learning_rate': 0.05, 'classifier__colsample_bytree': 1.0}",0.47619047619047616,0.5714285714285714,0.3088235294117647,0.25,0.6428571428571428,0.44985994397759105,0.15003693833359288,10
